Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Jerick McKinnon (15677135),Jerick McKinnon,15677135,RB/FLEX,5700,SF@SEA 11/01/2020 04:25PM ET,SF,10.53
RB,Melvin Gordon III (15677137),Melvin Gordon III,15677137,RB/FLEX,5600,LAC@DEN 11/01/2020 04:05PM ET,DEN,16.72
WR,Tee Higgins (15677357),Tee Higgins,15677357,WR/FLEX,5600,TEN@CIN 11/01/2020 01:00PM ET,CIN,13.03
WR,Jarvis Landry (15677359),Jarvis Landry,15677359,WR/FLEX,5600,LV@CLE 11/01/2020 01:00PM ET,CLE,10.33
TE,Darren Waller (15677623),Darren Waller,15677623,TE/FLEX,5600,LV@CLE 11/01/2020 01:00PM ET,LV,15.75
QB,Tua Tagovailoa (15677057),Tua Tagovailoa,15677057,QB,5600,LAR@MIA 11/01/2020 01:00PM ET,MIA,0.36
QB,Ryan Fitzpatrick (15677058),Ryan Fitzpatrick,15677058,QB,5600,LAR@MIA 11/01/2020 01:00PM ET,MIA,22.65
WR,Diontae Johnson (15677361),Diontae Johnson,15677361,WR/FLEX,5500,PIT@BAL 11/01/2020 01:00PM ET,PIT,12.92
QB,Derek Carr (15677059),Derek Carr,15677059,QB,5500,LV@CLE 11/01/2020 01:00PM ET,LV,21.06
RB,Austin Ekeler (15677139),Austin Ekeler,15677139,RB/FLEX,5400,LAC@DEN 11/01/2020 04:05PM ET,LAC,15.55
WR,JuJu Smith-Schuster (15677363),JuJu Smith-Schuster,15677363,WR/FLEX,5400,PIT@BAL 11/01/2020 01:00PM ET,PIT,13.32
QB,Jimmy Garoppolo (15677060),Jimmy Garoppolo,15677060,QB,5400,SF@SEA 11/01/2020 04:25PM ET,SF,13.32
RB,D'Andre Swift (15677141),D'Andre Swift,15677141,RB/FLEX,5300,IND@DET 11/01/2020 01:00PM ET,DET,14.45
TE,T.J. Hockenson (15677625),T.J. Hockenson,15677625,TE/FLEX,5300,IND@DET 11/01/2020 01:00PM ET,DET,12.27
QB,Drew Lock (15677062),Drew Lock,15677062,QB,5300,LAC@DEN 11/01/2020 04:05PM ET,DEN,8.34
QB,Jarrett Stidham (15677061),Jarrett Stidham,15677061,QB,5300,NE@BUF 11/01/2020 01:00PM ET,NE,3.28
